norm_energy,spectrum
0.0082,0.099
0.017,0.14
0.024,0.18
0.030,0.22
0.036,0.26
0.042,0.30
0.047,0.34
0.052,0.38
0.057,0.42
0.064,0.48
0.070,0.52
0.075,0.57
0.081,0.62
0.086,0.66
0.092,0.71
0.097,0.76
0.10,0.81
0.11,0.85
0.11,0.89
0.12,0.93
0.12,0.97
0.13,1.0
0.13,1.1
0.14,1.1
0.14,1.1
0.14,1.2
0.15,1.2
0.15,1.3
0.16,1.3
0.17,1.4
0.17,1.4
0.18,1.5
0.18,1.5
0.19,1.6
0.19,1.6
0.20,1.7
0.21,1.7
0.21,1.8
0.22,1.8
0.23,1.8
0.23,1.9
0.24,1.9
0.25,2.0
0.26,2.0
0.27,2.1
0.28,2.1
0.29,2.2
0.30,2.2
0.31,2.2
0.33,2.3
0.34,2.3
0.36,2.3
0.37,2.3
0.38,2.2
0.40,2.2
0.41,2.2
0.42,2.1
0.43,2.1
0.44,2.0
0.45,2.0
0.46,2.0
0.47,1.9
0.47,1.9
0.48,1.8
0.49,1.8
0.49,1.7
0.50,1.7
0.51,1.7
0.51,1.6
0.52,1.6
0.52,1.5
0.53,1.5
0.54,1.4
0.54,1.4
0.55,1.4
0.56,1.3
0.56,1.3
0.57,1.2
0.58,1.2
0.58,1.1
0.59,1.1
0.59,1.0
0.60,0.98
0.61,0.94
0.61,0.90
0.62,0.86
0.62,0.82
0.63,0.79
0.64,0.75
0.64,0.71
0.65,0.66
0.66,0.62
0.66,0.58
0.67,0.54
0.68,0.51
0.68,0.47
0.69,0.43
0.70,0.39
0.71,0.35
0.72,0.32
0.73,0.27
0.74,0.24
0.75,0.20
0.77,0.16
0.78,0.13
0.79,0.099
0.81,0.073
0.82,0.052
0.84,0.037
0.85,0.022
0.87,0.014
0.88,0.0057
0.90,0.0037
0.91,0.0020
